fn,class
682.jpg,HerbaceousVegetation
683.jpg,AnnualCrop
684.jpg,Highway
685.jpg,River
686.jpg,Residential
687.jpg,River
688.jpg,Industrial
689.jpg,AnnualCrop
690.jpg,Residential
691.jpg,AnnualCrop
692.jpg,SeaLake
693.jpg,AnnualCrop
694.jpg,AnnualCrop
695.jpg,Industrial
696.jpg,AnnualCrop
697.jpg,Forest
698.jpg,SeaLake
699.jpg,Highway
700.jpg,Pasture
701.jpg,River
702.jpg,Pasture
703.jpg,Industrial
704.jpg,River
705.jpg,Forest
706.jpg,Highway
707.jpg,Residential
708.jpg,Industrial
709.jpg,Forest
710.jpg,Residential
711.jpg,HerbaceousVegetation
712.jpg,HerbaceousVegetation
713.jpg,Industrial
714.jpg,SeaLake
715.jpg,Industrial
716.jpg,Industrial
717.jpg,SeaLake
718.jpg,SeaLake
719.jpg,Forest
720.jpg,Industrial
721.jpg,Residential
722.jpg,Residential
723.jpg,Industrial
724.jpg,Residential
725.jpg,River
726.jpg,River
727.jpg,River
728.jpg,AnnualCrop
729.jpg,HerbaceousVegetation
730.jpg,Forest
731.jpg,Residential
732.jpg,Pasture
733.jpg,Highway
734.jpg,PermanentCrop
735.jpg,AnnualCrop
736.jpg,River
737.jpg,PermanentCrop
738.jpg,PermanentCrop
739.jpg,Industrial
740.jpg,Industrial
741.jpg,Pasture
742.jpg,Highway
743.jpg,AnnualCrop
744.jpg,AnnualCrop
745.jpg,River
746.jpg,AnnualCrop
747.jpg,Industrial
748.jpg,Forest
749.jpg,Industrial
750.jpg,River
751.jpg,Industrial
752.jpg,Industrial
753.jpg,Forest
754.jpg,Forest
755.jpg,AnnualCrop
756.jpg,Residential
757.jpg,PermanentCrop
758.jpg,Residential
759.jpg,Pasture
760.jpg,Industrial
761.jpg,AnnualCrop
762.jpg,AnnualCrop
763.jpg,Pasture
764.jpg,Forest
765.jpg,Industrial
766.jpg,SeaLake
767.jpg,AnnualCrop
768.jpg,HerbaceousVegetation
769.jpg,Highway
770.jpg,PermanentCrop
771.jpg,SeaLake
772.jpg,River
773.jpg,Forest
774.jpg,PermanentCrop
775.jpg,Industrial
776.jpg,Highway
777.jpg,Pasture
778.jpg,PermanentCrop
779.jpg,HerbaceousVegetation
780.jpg,PermanentCrop
781.jpg,Highway
782.jpg,Highway
783.jpg,Industrial
784.jpg,HerbaceousVegetation
785.jpg,HerbaceousVegetation
786.jpg,HerbaceousVegetation
787.jpg,AnnualCrop
788.jpg,SeaLake
789.jpg,Highway
790.jpg,Pasture
791.jpg,Highway
792.jpg,Pasture
793.jpg,AnnualCrop
794.jpg,PermanentCrop
795.jpg,River
796.jpg,Residential
797.jpg,SeaLake
798.jpg,Forest
799.jpg,HerbaceousVegetation
800.jpg,Forest
801.jpg,Pasture
802.jpg,Industrial
803.jpg,Pasture
804.jpg,Pasture
805.jpg,Industrial
806.jpg,HerbaceousVegetation
807.jpg,Forest
808.jpg,Residential
809.jpg,HerbaceousVegetation
810.jpg,Forest
811.jpg,Residential
812.jpg,AnnualCrop
813.jpg,HerbaceousVegetation
814.jpg,PermanentCrop
815.jpg,Pasture
816.jpg,SeaLake
817.jpg,Forest
818.jpg,SeaLake
819.jpg,Highway
820.jpg,HerbaceousVegetation
821.jpg,AnnualCrop
822.jpg,HerbaceousVegetation
823.jpg,Residential
824.jpg,Highway
825.jpg,Forest
826.jpg,Forest
827.jpg,PermanentCrop
828.jpg,AnnualCrop
829.jpg,SeaLake
830.jpg,AnnualCrop
831.jpg,Residential
832.jpg,Forest
833.jpg,Industrial
834.jpg,River
835.jpg,HerbaceousVegetation
836.jpg,PermanentCrop
837.jpg,PermanentCrop
838.jpg,Industrial
839.jpg,Pasture
840.jpg,PermanentCrop
841.jpg,AnnualCrop
842.jpg,Forest
843.jpg,Pasture
844.jpg,Pasture
845.jpg,Forest
846.jpg,SeaLake
847.jpg,PermanentCrop
848.jpg,AnnualCrop
849.jpg,Industrial
850.jpg,HerbaceousVegetation
851.jpg,SeaLake
852.jpg,Residential
853.jpg,PermanentCrop
854.jpg,Forest
855.jpg,Residential
856.jpg,SeaLake
857.jpg,AnnualCrop
858.jpg,HerbaceousVegetation
859.jpg,SeaLake
860.jpg,HerbaceousVegetation
861.jpg,PermanentCrop
862.jpg,SeaLake
863.jpg,River
864.jpg,PermanentCrop
865.jpg,PermanentCrop
866.jpg,River
867.jpg,PermanentCrop
868.jpg,HerbaceousVegetation
869.jpg,Highway
870.jpg,Residential
871.jpg,SeaLake
872.jpg,Forest
873.jpg,Highway
874.jpg,PermanentCrop
875.jpg,Highway
876.jpg,Pasture
877.jpg,River
878.jpg,HerbaceousVegetation
879.jpg,PermanentCrop
880.jpg,Residential
881.jpg,SeaLake
882.jpg,Residential
883.jpg,PermanentCrop
884.jpg,HerbaceousVegetation
885.jpg,PermanentCrop
886.jpg,Pasture
887.jpg,Highway
888.jpg,Residential
889.jpg,Industrial
890.jpg,PermanentCrop
891.jpg,River
892.jpg,River
893.jpg,Forest
894.jpg,SeaLake
895.jpg,Residential
896.jpg,Forest
897.jpg,HerbaceousVegetation
898.jpg,HerbaceousVegetation
899.jpg,Highway
900.jpg,PermanentCrop
901.jpg,SeaLake
902.jpg,Highway
903.jpg,AnnualCrop
904.jpg,AnnualCrop
905.jpg,Residential
906.jpg,HerbaceousVegetation
907.jpg,SeaLake
908.jpg,AnnualCrop
909.jpg,Residential
910.jpg,Forest
911.jpg,SeaLake
912.jpg,Industrial
913.jpg,HerbaceousVegetation
914.jpg,Highway
915.jpg,Residential
916.jpg,SeaLake
917.jpg,River
918.jpg,HerbaceousVegetation
919.jpg,SeaLake
920.jpg,River
921.jpg,HerbaceousVegetation
922.jpg,Forest
923.jpg,HerbaceousVegetation
924.jpg,River
925.jpg,PermanentCrop
926.jpg,Forest
927.jpg,Residential
928.jpg,Residential
929.jpg,PermanentCrop
930.jpg,HerbaceousVegetation
931.jpg,AnnualCrop
932.jpg,SeaLake
933.jpg,Residential
934.jpg,SeaLake
935.jpg,Residential
936.jpg,River
937.jpg,AnnualCrop
938.jpg,Industrial
939.jpg,Residential
940.jpg,River
941.jpg,Pasture
942.jpg,SeaLake
943.jpg,Forest
944.jpg,SeaLake
945.jpg,Industrial
946.jpg,River
947.jpg,HerbaceousVegetation
948.jpg,Forest
949.jpg,Forest
950.jpg,Forest
951.jpg,Residential
952.jpg,PermanentCrop
953.jpg,Residential
954.jpg,HerbaceousVegetation
955.jpg,AnnualCrop
956.jpg,AnnualCrop
957.jpg,River
958.jpg,Forest
959.jpg,Residential
960.jpg,Forest
961.jpg,Forest
962.jpg,Pasture
963.jpg,Highway
964.jpg,PermanentCrop
965.jpg,SeaLake
966.jpg,Industrial
967.jpg,SeaLake
968.jpg,Highway
969.jpg,Residential
970.jpg,River
971.jpg,Residential
972.jpg,SeaLake
973.jpg,Pasture
974.jpg,AnnualCrop
975.jpg,Residential
976.jpg,Highway
977.jpg,HerbaceousVegetation
978.jpg,HerbaceousVegetation
979.jpg,Forest
980.jpg,Highway
981.jpg,SeaLake
982.jpg,Highway
983.jpg,Residential
984.jpg,Highway
985.jpg,Pasture
986.jpg,Forest
987.jpg,SeaLake
988.jpg,HerbaceousVegetation
989.jpg,Pasture
990.jpg,Residential
991.jpg,Highway
992.jpg,River
993.jpg,Industrial
994.jpg,PermanentCrop
995.jpg,Pasture
996.jpg,Forest
997.jpg,River
998.jpg,River
999.jpg,AnnualCrop
1000.jpg,AnnualCrop
1001.jpg,Industrial
1002.jpg,AnnualCrop
1003.jpg,Highway
1004.jpg,Residential
1005.jpg,Industrial
1006.jpg,Residential
1007.jpg,Industrial
1008.jpg,HerbaceousVegetation
1009.jpg,Industrial
1010.jpg,AnnualCrop
1011.jpg,AnnualCrop
1012.jpg,Industrial
1013.jpg,PermanentCrop
1014.jpg,HerbaceousVegetation
1015.jpg,SeaLake
1016.jpg,Residential
1017.jpg,Industrial
1018.jpg,Forest
1019.jpg,Forest
1020.jpg,Pasture
1021.jpg,AnnualCrop
1022.jpg,HerbaceousVegetation
1023.jpg,Residential
1024.jpg,Highway
1025.jpg,River
1026.jpg,SeaLake
1027.jpg,Industrial
1028.jpg,AnnualCrop
1029.jpg,River
1030.jpg,Forest
1031.jpg,Pasture
1032.jpg,Residential
1033.jpg,AnnualCrop
1034.jpg,HerbaceousVegetation
1035.jpg,River
1036.jpg,Highway
1037.jpg,Highway
1038.jpg,AnnualCrop
1039.jpg,HerbaceousVegetation
1040.jpg,River
1041.jpg,Industrial
1042.jpg,River
1043.jpg,Residential
1044.jpg,Industrial
1045.jpg,Forest
1046.jpg,Residential
1047.jpg,Forest
1048.jpg,SeaLake
1049.jpg,Highway
1050.jpg,Pasture
1051.jpg,Residential
1052.jpg,AnnualCrop
1053.jpg,AnnualCrop
1054.jpg,SeaLake
1055.jpg,AnnualCrop
1056.jpg,AnnualCrop
1057.jpg,HerbaceousVegetation
1058.jpg,Forest
1059.jpg,Residential
1060.jpg,Residential
1061.jpg,PermanentCrop
1062.jpg,SeaLake
1063.jpg,AnnualCrop
1064.jpg,AnnualCrop
1065.jpg,River
1066.jpg,Residential
1067.jpg,Residential
1068.jpg,AnnualCrop
1069.jpg,AnnualCrop
1070.jpg,PermanentCrop
1071.jpg,AnnualCrop
1072.jpg,AnnualCrop
1073.jpg,Residential
1074.jpg,SeaLake
1075.jpg,AnnualCrop
1076.jpg,Forest
1077.jpg,Forest
1078.jpg,Pasture
1079.jpg,Forest
1080.jpg,SeaLake
1081.jpg,Forest
1082.jpg,Forest
1083.jpg,HerbaceousVegetation
1084.jpg,River
1085.jpg,HerbaceousVegetation
1086.jpg,AnnualCrop
1087.jpg,PermanentCrop
1088.jpg,Highway
1089.jpg,Industrial
1090.jpg,Pasture
1091.jpg,Highway
1092.jpg,AnnualCrop
1093.jpg,Industrial
1094.jpg,SeaLake
1095.jpg,HerbaceousVegetation
1096.jpg,Forest
1097.jpg,SeaLake
1098.jpg,River
1099.jpg,AnnualCrop
1100.jpg,Residential
1101.jpg,Forest
1102.jpg,Highway
1103.jpg,Residential
1104.jpg,River
1105.jpg,PermanentCrop
1106.jpg,Forest
1107.jpg,Industrial
1108.jpg,HerbaceousVegetation
1109.jpg,PermanentCrop
1110.jpg,HerbaceousVegetation
1111.jpg,Highway
1112.jpg,Pasture
1113.jpg,Residential
1114.jpg,HerbaceousVegetation
1115.jpg,PermanentCrop
1116.jpg,SeaLake
1117.jpg,AnnualCrop
1118.jpg,Highway
1119.jpg,Industrial
1120.jpg,Forest
1121.jpg,Highway
1122.jpg,AnnualCrop
1123.jpg,River
1124.jpg,Highway
1125.jpg,Highway
1126.jpg,SeaLake
1127.jpg,Residential
1128.jpg,River
1129.jpg,River
1130.jpg,Forest
1131.jpg,Pasture
1132.jpg,HerbaceousVegetation
1133.jpg,HerbaceousVegetation
1134.jpg,SeaLake
1135.jpg,River
1136.jpg,AnnualCrop
1137.jpg,SeaLake
1138.jpg,SeaLake
1139.jpg,Residential
1140.jpg,Industrial
1141.jpg,Highway
1142.jpg,AnnualCrop
1143.jpg,River
1144.jpg,HerbaceousVegetation
1145.jpg,Residential
1146.jpg,Pasture
1147.jpg,PermanentCrop
1148.jpg,Pasture
1149.jpg,Residential
1150.jpg,Forest
1151.jpg,Pasture
1152.jpg,Highway
1153.jpg,Pasture
1154.jpg,AnnualCrop
1155.jpg,Industrial
1156.jpg,Industrial
1157.jpg,SeaLake
1158.jpg,AnnualCrop
1159.jpg,HerbaceousVegetation
1160.jpg,River
1161.jpg,AnnualCrop
1162.jpg,Forest
1163.jpg,AnnualCrop
1164.jpg,Pasture
1165.jpg,HerbaceousVegetation
1166.jpg,Industrial
1167.jpg,Forest
1168.jpg,Residential
1169.jpg,HerbaceousVegetation
1170.jpg,River
